drugbank_id	name	cas	group	description	indication
DB05780	ATX-101		investigational,	ATX-101 (medical), sodium deoxycholate for subcutaneous injection, is being evaluated as a treatment for the reduction of localized fat deposits. This includes treatment of superficial lipomas (benign tumors of soft tissue composed of mature fat cells), fat deposits in the submental region of the face/neck, and localized fat deposits in other parts of the body. Deoxycholic acid is a naturally occurring bile acid produced by the liver as one of several end products of cholesterol metabolism. As a naturally occurring component of the human body, deoxycholate is considered a ‘biocompatible’ detergent that solubilizes fat in the small intestine. ATX-101 demonstrates a relative selectivity for fat over other tissues.	Investigated for use/treatment in solid tumors.
DB05785	LGD-1550		investigational,	LGD-1550 is an orally-active synthetic aromatic retinoic acid agent with potential antineoplastic and chemopreventive activities.	Investigated for use/treatment in cancer/tumors (unspecified).
DB05786	Irofulven	158440-71-2	investigational,	"A novel anti-cancer compound synthesized by scientists at the University of California, San Diego more than a decade ago from toxins of the poisonous jack-o-lantern mushroom, has been granted “fast track” status by the U.S. Food and Drug Administration (FDA) after demonstrating promise against one of the most deadly cancers. 

MGI-114 (Irofulven) is currently being developed by MGI PHARMA, Inc., an emerging oncology-focused pharmaceutical company based in Minneapolis. Phase III clinical trials involving the drug have been underway since early 2001 at sites in the U.S. and Europe."	Investigated for use/treatment in brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, pediatric indications, prostate cancer, and sarcoma.
DB05787	LM-609		investigational,	LM-609 (Vitaxin) is an artificial antibody that targets a protein on the surface of newly forming blood vessels, as well as on certain tumors. In addition to cancer, the protein has been implicated in bone destruction in rheumatoid arthritis and the inflammatory process in psoriasis.	Investigated for use/treatment in colorectal cancer, melanoma, prostate cancer, psoriasis and psoriatic disorders, rheumatoid arthritis, and solid tumors.
DB05789	MX6		investigational,	MX6 is adamantyl group derivatives containing retinoid-related compounds induce apoptosis of cancer cells and therefore may be used for the treatment of cancer, including advanced cancer. More specifically, it has been shown that such adamantyl compounds, e.g., 6-[3-(1-adamantyl)-4-methoxyphenyl]-2-naphthoic acid, 2-[3-(1-adamantyl)-4-methoxyphenyl]-5-benzimidazole carboxylic acid, and 6-[3-(1-adamantyl)-4,5-methylenedioxyphenyl]-2-naphthoic acid, can be used to treat or prevent cervical cancers and precancers such as cervical dysplasias, including high grade and low grade dysplasias.	Investigated for use/treatment in cervical dysplasia/cancer.
DB05790	SR 140333		investigational,	"SR 140333 is tachykinin antagonist which has potential to treat diarrhoea due to food allergy or inflammatory bowel disease. 
"	Investigated for use/treatment in asthma and inflammatory bowel disease.
DB05791	Perflubron	423-55-2	investigational,	Perflubron (Oxygent) is being developed as an intravascular oxygen carrier designed to augment oxygen delivery in surgical patients.	Investigated for use/treatment in cardiac surgery, hemorrhage, and ileus.
DB05792	Arylacenamide	132173-07-0	investigational,	Arylacenamide (SR31747) is a peripheral [sigma] ligand that binds four proteins in human cells, i.e. SRBP-1, [sigma]-2, HSI and its relative SRBP-2. It is a dual agent with both immunomodulatory and antiproliferative activities.	Investigated for use/treatment in cancer/tumors (unspecified), immunosuppressive, and prostate cancer.
DB05793	PRO-542		investigational,	PRO 542 belongs to a new class of drugs, viral-entry inhibitor, which is intended to prevent HIV from entering and infecting cells. PRO 542 (CD4-immunoglobulin G2) is a tetravalent CD4-immunoglobulin fusion protein that broadly neutralizes primary HIV-1 isolates. 	Investigated for use/treatment in acquired immune deficiency syndrome (AIDS) and aids-related infections, HIV infection, and pediatric indications.
DB05794	Serelaxin	99489-94-8	investigational,	Recombinant human relaxin is a hormone produced during pregnancy that facilitates the birth process by causing a softening and lengthening of the cervix and the pubic symphysis (the place where the pubic bones come together).It is a heterodimer protein secreted by the corpus luteum and placenta during pregnancy.	Investigated for use/treatment in cardiovascular disorders, congestive heart failure, infertility, peripheral vascular disease, and scleroderma.
DB05795	YKP-10A		investigational,	YKP10A is a novel, new antidepressant that may affect dopamine neurotransmission. It provides  antidepressant activity in patients with major depression.	Investigated for use/treatment in depression.
DB05796	Daglutril	182821-27-8	investigational,	Daglutril is an orally active, mixed neutral endopeptidase/endothelin converting enzyme inhibitor under development for the treatment of essential hypertension and congestive heart failure.	Investigated for use/treatment in congestive heart failure and hypertension.
DB05797	TNX-901		investigational,	TNX-901 is a therapeutic monoclonal antibodies designed to address significant unmet medical needs in the areas of asthma, allergy, inflammation and other diseases affecting the human immune system.	Investigated for use/treatment in allergic reaction.
DB05798	GEM-231	255810-66-3	investigational,	GEM231 is a second-generation antisense oligonucleotide targeting the mRNA of the R1alpha regulatory subunit of cAMP dependent protein kinase. A monoclonal antibody combined with a toxic substance that is used treat certain types of acute myeloid leukemia in older patients and is being studied in the treatment of other types of cancer. Monoclonal antibodies are made in the laboratory and can locate and bind to cancer cells.	Investigated for use/treatment in solid tumors.
DB05799	NOX-100		investigational,	NOX-100 is the new nitric oxide (NO) neutralizing agent being developed by San Diego-based Medinox -- demonstrated its effectiveness and potential as a therapeutic to treat hemorrhagic shock. NOX-100 is the first in a series of proprietary NO neutralizing compounds Medinox is developing to bind and inactivate NO, a simple gas molecule that is a key biological messenger in the body.	Investigated for use/treatment in sepsis and septicemia.
DB05800	Alethine	646-08-2	investigational,	Alethine is studied in the treatment of cancer. It belongs to a family of chemicals called disulfides. It is a low molecular weight disulfide that has been shown to exhibit in vivo antitumor activity in murine myeloma and melanoma models.	Investigated for use/treatment in blood (blood forming organ disorders, unspecified), lymphoma (unspecified), and multiple myeloma.
DB05801	GTI 2040		investigational,	GTI-2040 is a substance that is being studied as a treatment for cancer. It belongs to the family of drugs called antisense oligonucleotides.	Investigated for use/treatment in breast cancer, colorectal cancer, leukemia (myeloid), leukemia (unspecified), myelodysplastic syndrome, prostate cancer, renal cell carcinoma, and solid tumors.
DB05803	ISIS 14803		investigational,	ISIS 14803 is a 20-unit antisense phosphorothioate oligodeoxynucleotide that binds to hepatitis C virus (HCV) RNA at the translation initiation region of the internal ribosome entry site (IRES) and inhibits protein expression in cell culture.	Investigated for use/treatment in hepatitis (viral, C).
DB05804	Prasterone sulfate	651-48-9	investigational,	DHEA sulfate is the major steroid of the fetal adrenal. DHEA-S is the principal adrenal androgen and is secreted together with cortisol under the control of ACTH and prolactin. DHEA-S is elevated with hyperprolactinemia.	Investigated for use/treatment in asthma and burns and burn infections.
DB05805	NS-2359		investigational,	"NS2359 is a triple monoamine re-uptake inhibitor with a new, unique drug profile expected to yield important benefits compared to existing treatments of depression. Enhancing the function of the three neurotransmitters serotonin, noradrenalin and dopamine, NS2359 has a desired ""triple-mode-of-action"". This mode of action is expected to produce an optimal reduction in all disease symptoms and the possibility of an earlier onset of action compared to antidepressants already on the market."	Investigated for use/treatment in addictions, attention deficit/hyperactivity disorder (ADHD), and depression.
